Payment Plan:
Month | Payment | Interest | Principal | Balance
1 | 55.90 | 7.00 | 48.90 | 1151.10
2 | 55.90 | 6.71 | 49.19 | 1101.91
3 | 55.90 | 6.43 | 49.48 | 1052.43
4 | 55.90 | 6.14 | 49.76 | 1002.67
5 | 55.90 | 5.85 | 50.06 | 952.61
6 | 55.90 | 5.56 | 50.35 | 902.26
7 | 55.90 | 5.26 | 50.64 | 851.62
8 | 55.90 | 4.97 | 50.94 | 800.69
9 | 55.90 | 4.67 | 51.23 | 749.45
10 | 55.90 | 4.37 | 51.53 | 697.92
11 | 55.90 | 4.07 | 51.83 | 646.09
12 | 55.90 | 3.77 | 52.14 | 593.95
13 | 55.90 | 3.46 | 52.44 | 541.51
14 | 55.90 | 3.16 | 52.75 | 488.77
15 | 55.90 | 2.85 | 53.05 | 435.72
16 | 55.90 | 2.54 | 53.36 | 382.35
17 | 55.90 | 2.23 | 53.67 | 328.68
18 | 55.90 | 1.92 | 53.99 | 274.69
19 | 55.90 | 1.60 | 54.30 | 220.39
20 | 55.90 | 1.29 | 54.62 | 165.77
21 | 55.90 | 0.97 | 54.94 | 110.84
22 | 55.90 | 0.65 | 55.26 | 55.58
23 | 55.90 | 0.32 | 55.58 | 0.00
